GtC yr,Column 1,Column 2,Column 3,Individual models,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Data-based products,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 28,Column 29,Column 30,Column 31,Column 32,Column 33,Column 34,Column 35,Column 36,Column 37,Column 38,Column 39,Column 40,Column 41,Column 42,Column 43,Column 44,Column 45,Column 46
year,GCB,,,NEMO3.6-PISCESv2-gas (CNRM),FESOM-2.1-REcoM3,NEMO-PISCES (IPSL),MOM6-COBALT (Princeton),MRI-ESM2-21,MICOM-HAMOCC (NorESM1-OCv1.2),NEMO-PlankTOM12,CESM-ETHZ,MPIOM-HAMOCC6,ACCESS (CSIRO),,Multi-model mean,Model Spread (sd),,CMEMS-LSCE-FFNN,JMA-MLR,LDEO-HPD,MPI-SOMFFN,NIES-ML3,OS_ETH_Gracer,Jena-MLS,UOEx-Watson,Average data-products (excl. Watson.),sd data-products (excl. Watson.),,,,,,,,,,,,,,,,,,,GCB
1973,1.3719426846,0.40000000000000002,,0.79918028846,1.3751722756,1.0038028846,1.1117211538,1.0660176282,1.8344951923,1.0074783654,1.306025641,1.0429583333,1.7466434295,,1.2293495192,0.33687070595,,,,1.32950682,,,,1.1318579,,,,,,,,,,,,,,,,,,,,,,1.3719426846
1974,1.3186371764,0.40000000000000002,,0.73436462912,1.345570467,0.97420075549,0.98722012363,1.066878228,1.7745552885,1.0079394231,1.1111902473,1.0717866071,1.6867343407,,1.176044011,0.32905375372,,,,1.28083717,,,,1.05881851,,,,,,,,,,,,,,,,,,,,,,1.3186371764
1975,1.2380316682,0.40000000000000002,,0.67654896978,1.1649686584,0.83359862637,0.87371909341,1.0217388278,1.7186153846,0.85940048077,1.0293548535,1.191614881,1.5848252518,,1.0954385027,0.33343895848,,,,1.23417205,,,,0.99829628,,,,,,,,,,,,,,,,,,,,,,1.2380316682
1976,1.4405261599,0.40000000000000002,,0.91073331044,1.2523668498,0.98499649725,1.0442180632,1.4225994277,1.8836754808,1.1678615385,1.2635194597,1.1514431548,1.897916163,,1.2979329945,0.34520176339,,,,1.39012146,,,,1.1856136,,,,,,,,,,,,,,,,,,,,,,1.4405261599
1977,1.5309206517,0.40000000000000002,,0.9899176511,1.3887650412,1.1463943681,1.155717033,1.5094600275,1.9547355769,1.2173225962,1.3906840659,1.2402714286,1.8900070742,,1.3883274863,0.31792946346,,,,1.518085,,,,1.46651741,,,,,,,,,,,,,,,,,,,,,,1.5309206517
1978,1.5555151434,0.40000000000000002,,1.0691019918,1.5081632326,1.214792239,1.1832160027,1.3793206273,1.9067956731,1.1747836538,1.4608486722,1.2850997024,1.9470979853,,1.412921978,0.30277108256,,,,1.51928688,,,,1.42162689,,,,,,,,,,,,,,,,,,,,,,1.5555151434
1979,1.5250096352,0.40000000000000002,,1.2052863324,1.324561424,1.1641901099,1.0907149725,1.4571812271,1.7578557692,1.2972447115,1.3760132784,1.0609279762,2.0901888965,,1.3824164698,0.32068869032,,,,1.53069929,,,,1.50135514,,,,,,,,,,,,,,,,,,,,,,1.5250096352
1980,1.788404127,0.40000000000000002,,1.5164706731,1.8279596154,1.4585879808,1.3772139423,1.5510418269,2.0459158654,1.4827057692,1.6541778846,1.33675625,2.2072798077,,1.6458109615,0.29128152812,,,,2.03230422,,,,1.79808607,,,,,,,,,,,,,,,,,,,,,,1.788404127
1981,1.7628986187,0.40000000000000002,,1.2696550137,1.8393578068,1.4079858516,1.3947129121,1.5359024267,2.0719759615,1.5011668269,1.6043424908,1.3865845238,2.1913707189,,1.6203054533,0.3114894737,,,,1.95993651,,,,1.65227141,,,,,,,,,,,,,,,,,,,,,,1.7628986187
1982,1.9470931105,0.40000000000000002,,1.4768393544,1.9387559982,1.5413837225,1.4952118819,1.8527630266,2.1340360577,1.8006278846,1.7915070971,1.4894127976,2.52446163,,1.8044999451,0.3364863086,,,,2.10000213,,,,1.86792722,,,,,,,,,,,,,,,,,,,,,,1.9470931105
1983,2.0984876022,0.40000000000000002,,1.6120236951,2.1091541896,1.7337815934,1.7007108516,2.0096236264,2.3220961538,2.0080889423,1.9796717033,1.4532410714,2.6305525412,,1.9558944368,0.35028441268,,,,2.2207871,,,,2.0051085,,,,,,,,,,,,,,,,,,,,,,2.0984876022
1984,1.874082094,0.40000000000000002,,1.4762080357,1.982552381,1.4851794643,1.5242098214,1.5044842262,2.27815625,1.67355,1.6538363095,1.5950693452,2.1416434524,,1.7314889286,0.29409642256,,,,2.18067494,,,,1.82826712,,,,,,,,,,,,,,,,,,,,,,1.874082094
1985,1.7669765857,0.40000000000000002,,1.2083923764,1.7619505723,1.3765773352,1.2897087912,1.448344826,2.2592163462,1.4970110577,1.6140009158,1.539897619,2.2487343636,,1.6243834203,0.36707161422,,,,2.0676845,,,,1.84690585,,,,,,,,,,,,,,,,,,,,,,1.7669765857
1986,1.8342710775,0.40000000000000002,,1.406576717,1.8953487637,1.492975206,1.354207761,1.6482054258,2.2922764423,1.4564721154,1.577165522,1.5337258929,2.2598252747,,1.6916779121,0.34236383302,,,,2.17435498,,,,1.99785366,,,,,,,,,,,,,,,,,,,,,,1.8342710775
1987,1.9885655693,0.40000000000000002,,1.6957610577,1.8477469551,1.6573730769,1.4587067308,1.9830660256,2.2263365385,1.7879331731,1.7773301282,1.4825541667,2.5429161859,,1.8459724038,0.33291078318,,,,2.08433831,,,,2.03469756,,,,,,,,,,,,,,,,,,,,,,1.9885655693
1988,1.809060061,0.40000000000000002,,1.2299453984,1.9771451465,1.5307709478,1.4852057005,1.4039266255,2.1343966346,1.5353942308,1.7224947344,1.5003824405,2.1450070971,,1.6664668956,0.31677727387,,,,1.87560227,,,,1.76652887,,,,,,,,,,,,,,,,,,,,,,1.809060061
1989,1.8464545528,0.40000000000000002,,1.351129739,1.8055433379,1.3881688187,1.3547046703,1.6147872253,2.2594567308,1.7148552885,1.5536593407,1.6572107143,2.3390980082,,1.7038613874,0.34981500004,,,,2.27862225,,,,1.63690397,,,,,,,,,,,,,,,,,,,,,,1.8464545528
1990,2.0087565791,0.40000000000000002,,1.4763140797,1.9339415293,1.5605666896,1.4962036401,1.8146478251,2.2765168269,1.6643163462,1.7358239469,1.6140389881,2.4891889194,,1.8061558791,0.3385145373,,2.0376109467,3.18373001,2.24244308,1.99222329,1.9881414663,2.27342227,1.76192989,3.0089931396,2.211357279,0.46194243658,,,,,,,,,,,,,,,,,,,2.0087565791
1991,2.1398054266,0.40000000000000002,,1.7764984203,2.0533397207,1.6279645604,1.7157026099,1.9295084249,2.3125769231,1.9007774038,1.8909885531,1.6028672619,2.3782798306,,1.9188503709,0.26486744886,,2.1550844215,3.13047969,2.59545009,2.11082795,2.0530906846,2.35768625,2.12270429,2.9814677787,2.3607604823,0.38808433133,,,,,,,,,,,,,,,,,,,2.1398054266
1992,2.3017258258,0.40000000000000002,,1.873682761,2.1927379121,1.8393624313,1.9262015797,2.1123690247,2.5646370192,2.1712384615,2.1071531593,1.9626955357,2.7903707418,,2.1540448626,0.30648184464,,2.1875286197,2.99470214,2.86712562,2.1477479,1.9736739634,2.48190531,2.49316397,2.9469035288,2.449406789,0.37874944853,,,,,,,,,,,,,,,,,,,2.3017258258
1993,2.2458260425,0.40000000000000002,,1.9258671016,2.2441361035,1.8757603022,1.8497005495,2.0452296245,2.5516971154,2.0046995192,2.0253177656,1.8855238095,2.7014616529,,2.1109393544,0.29670035332,,2.2883140135,2.86254652,2.62198278,2.19295576,1.9403179708,2.53391172,2.22496035,2.9308176755,2.3807127306,0.30979604019,,,,,,,,,,,,,,,,,,,2.2458260425
1994,2.0342346179,0.40000000000000002,,1.4250514423,2.1025342949,1.7241581731,1.6631995192,1.7390902244,2.4017572115,1.7191605769,1.8224823718,1.6633520833,2.4505525641,,1.8711338462,0.33677111212,,2.2691357021,2.80506916,2.02027859,2.08533027,1.9351383154,2.39734111,1.86905458,2.8594541813,2.1973353896,0.32529672648,,,,,,,,,,,,,,,,,,,2.0342346179
